"","iyear","provstate","city","latitude","longitude","attacktype1_txt"
"1",1970,"Caldas","Manizales",5.059097,-75.50596,"Hostage Taking (Kidnapping)"
"2",1972,"Bogota","Bogota",4.594635,-74.093737,"Assassination"
"3",1972,"Antioquia","Medellin",6.242026,-75.564766,"Hostage Taking (Kidnapping)"
"5",1973,"Cordoba","Ayapel",8.312931,-75.142561,"Hostage Taking (Kidnapping)"
"6",1973,"Antioquia","El Bagre",7.59417,-74.8119,"Hostage Taking (Kidnapping)"
"7",1973,"Risaralda","Pereira",4.814278,-75.694558,"Hijacking"
"9",1973,"Antioquia","Segovia",7.252404,-74.74053,"Hostage Taking (Kidnapping)"
"10",1975,"Cauca","Morales",2.756736,-76.629934,"Armed Assault"
"11",1975,"Meta","Guadalito",3.68209,-73.52716,"Armed Assault"
"13",1975,"Boyaca","Otanche",5.65712,-74.18078,"Armed Assault"
"15",1975,"Bogota","Bogota",4.667128,-74.106056,"Assassination"
"16",1975,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"17",1975,"Casanare","Monterrey",4.87817,-72.89519,"Armed Assault"
"18",1975,"Bogota","Bogota",4.667128,-74.106056,"Assassination"
"19",1975,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"20",1976,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"21",1976,"Meta","Uribe",3.24114,-74.35539,"Hostage Taking (Kidnapping)"
"22",1976,"Cordoba","Las Palomas",8.449905,-75.997844,"Armed Assault"
"23",1976,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"24",1976,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"25",1976,"Antioquia","Envigado",6.17346,-75.59278,"Assassination"
"26",1976,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"27",1976,"Atlantico","Barranquilla",10.981412,-74.778319,"Assassination"
"28",1976,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"29",1976,"Valle del Cauca","Cali",3.429344,-76.516037,"Bombing/Explosion"
"30",1976,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"31",1976,"Cauca","Santa Rosa",1.700854,-76.572882,"Armed Assault"
"32",1976,"Santander","Campo Seco",6.263255,-74.298998,"Armed Assault"
"33",1976,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"34",1976,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"35",1976,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"36",1976,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"37",1976,"Antioquia","Medellin",6.242026,-75.564766,"Facility/Infrastructure Attack"
"38",1976,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"39",1976,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"40",1976,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"42",1977,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"43",1977,"Bogota","Bogota",4.667128,-74.106056,"Armed Assault"
"44",1977,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"45",1977,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"46",1977,"Caqueta","Florencia",1.61456,-75.6053,"Bombing/Explosion"
"47",1977,"Meta","La Macarena",2.183611,-73.784722,"Hostage Taking (Kidnapping)"
"48",1977,"Bogota","Bogota",4.667128,-74.106056,"Hostage Taking (Kidnapping)"
"50",1977,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"51",1977,"Cauca","Popayan",2.442137,-76.612379,"Bombing/Explosion"
"52",1977,"Bogota","Bogota",4.667128,-74.106056,"Assassination"
"53",1977,"Bogota","Bogota",4.667128,-74.106056,"Assassination"
"54",1977,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"55",1977,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"56",1977,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"57",1977,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"58",1977,"Bogota","Bogota",4.667128,-74.106056,"Bombing/Explosion"
"59",1977,"Bolivar","Cartagena",10.42099,-75.533583,"Armed Assault"
"60",1977,"Santander","Barrancabermeja",7.060051,-73.853115,"Bombing/Explosion"
"61",1977,"Santander","Barrancabermeja",7.060051,-73.853115,"Bombing/Explosion"
"62",1977,"Valle del Cauca","Cali",3.429344,-76.516037,"Bombing/Explosion"
"63",1977,"Cordoba","Juan Jose",7.800252,-75.850003,"Armed Assault"
"64",1977,"Antioquia","Puerto Berrio",6.48927,-74.40176,"Bombing/Explosion"
